target,acquiror,sale_year
HARRIS BANK,BMO BANK,1984
HIBERNIA NATIONAL BANK,CAPITAL ONE FINANCIAL,2005
HILL CRAWFORD & LANFORD,STERNE AGEE & LEACH,1995
HOPPER SOLIDAY,TUCKER ANTHONY SUTRO,1998
HORNER BARKSDALE,SCOTT & STRINGFELLOW,1984
HOWARD WEIL LABOUISSE FRIEDRIC,LEGG MASON,1987
HUTCHINSON SHOCKEY ERLEY,HUNTINGTON BANK,2018
IBERIA BANK,FIRST HORIZON BANK,2019
INB NATIONAL BANK,NATIONAL BANK OF DETROIT,1992
INTERSTATE SECURITIES,INTERSTATEJOHNSON LANE,1988
INTERSTATEJOHNSON LANE,WACHOVIA BANK,1999
IRVING TRUST,BANK OF NEW YORK MELLON,1988
J C BRADFORD,UBS FINANCIAL SERVICES,2000
J LEE PEELER,MORGAN KEEGAN,1994
JACKSON SECURITIES,M R BEAL,2012
JJB HILLIARD WL LYONS,ROBERT W BAIRD,2019
JOHN G KINNARD,MILLER JOHNSON STEICHEN KINNAR,2000
JOHNSONLANESPACESMITH,INTERSTATEJOHNSON LANE,1988
JURAN & MOODY,MILLER JOHNSON & KUEHN,1997
KEMPER SECURITIES,FIRST UNION NATIONAL BANK,1999
KIDDER PEABODY,PAINE WEBBER,1995
KIRKPATRICK PETTIS,D A DAVIDSON,2005
KNOX WALL,MORGAN KEEGAN,1997
LANCASTER POLLARD,ORIX BANK,2017
LASALLE NATIONAL BANK,BANK OF AMERICA,2007
LAWSON FINANCIAL,LIBERTY BANK,2018
LEO OPPENHEIM,BOK FINANCIAL,1998
LJ HART,COMMERCE BANK OF KANSAS CITY,2023
LONG ISLAND TRUST,BANK OF NEW YORK MELLON,1987
LOVETT MITCHELL WEBB,KEMPER SECURITIES,1990
M & I BANK,BMO BANK,2010
M L STERN INVESTMENTS SEC,SOUTHWEST SECURITIES,2008
M R BEAL,BLAYLOCK VAN,2014
MANUFACTURERS HANOVER TRUST,CHEMICAL BANK,1992
MANUFACTURERS NATIONAL BANK DETROIT,COMERICA BANK,1992
MARINE MIDLAND BANK,HSBC,1980
MASTERSON MORELAND SAUER,SOUTHWEST SECURITIES,1996
MBNA AMERICAN BANK,BANK OF AMERICA,2006
MCDONALD,KEY BANK,1998
MCDONALD,UBS FINANCIAL SERVICES,2007
MCLINEY,SAMCO CAPITAL MARKETS,2019
MELLON BANK,BANK OF NEW YORK MELLON,2006
MERCANTILE BANK OF ST LOUIS,FIRSTAR BANK,1999
MERCANTILE NATIONAL BANK OF DALLAS,BANC ONE,1989
MERCHANT CAPITAL,STERNE AGEE & LEACH,2014
MERCHANTS NATIONAL BANK,NATIONAL CITY BANK,1992
MERIDIAN BANK,CORESTATES BANK,1995
MERRILL LYNCH,BANK OF AMERICA,2008
MEUSE RINKER & CHAPMAN,BANC ONE,1989
MICHIGAN NATIONAL BANK,ABN AMRO,2000
MIDLANTIC BANK,PNC BANK,1995
MIDWEST CAPITAL MANAGEMENT,GOLD BANK,1997
MILLER JOHNSON & KUEHN,MILLER JOHNSON STEICHEN KINNAR,2000
MOORE JURAN,JOHN G KINNARD,1993
MORGAN KEEGAN,RAYMOND JAMES,2012
MORGAN KEEGAN,REGIONS BANK,2001
MORGANOLMSTEADKENNEDY&GARDNE,WEDBUSH SECURITIES,1988
MUFG UNION BANK,US BANK,2022
NASSAU TRUST,NORSTAR BANK,1983
NATIONAL BANK OF DETROIT,FIRST CHICAGO BANK,1995
NATIONAL CITY BANK,PNC BANK,2008
NATIONSBANK,BANK OF AMERICA,1998
NATWEST BANK,FLEET BANK,1996
NCNB NATIONAL BANK OF NORTH CAROLINA,NATIONSBANK,1991
NORSTAR BANK,FLEET BANK,1983
NORTH FORK BANK,CAPITAL ONE FINANCIAL,2008
NORTHLAND SECURITIES,FIRST NATIONAL BANK OF NEBRASKA,2023
NORWEST INVESTMENT SERVICES,WELLS FARGO,1998
OCONNOR,SOUTHWEST SECURITIES,2001
CIBC,OPPENHEIMER,1997
FAHNESTOCK,OPPENHEIMER,2003
FIRST OF MICHIGAN,FAHNESTOCK,1997
PACIFIC CREST SECURITES,KEY BANK,2014
PACIFIC SECURITIES,BANK OF AMERICA,1992
PAINE WEBBER,UBS FINANCIAL SERVICES,2000
PARKERHUNTER,JANNEY MONTGOMERY SCOTT,2005
PEOPLES HERITAGE BANK,TD BANK,2001
PEOPLES NATIONAL BANK OF WASHINGTON,US BANK,1987
PEOPLES UNITED BANK,M&T SECURITIES,2022
PORTER WHITE,MORGAN KEEGAN,1993
PRESCOTT BALL & TURBEN,KEMPER SECURITIES,1982
PRUDENTIAL SECURITIES,WACHOVIA BANK,2003
QUICK & REILLY,FLEET BANK,1997
R W CORBY,CORBY NORTH BRIDGE SECURITIES,1994
NORTH BRIDGE SECURITIES,CORBY NORTH BRIDGE SECURITIES,1994
RAFFENSPERGERHUGHES & COINC,NATIONAL CITY BANK,1995
RAINIER NATIONAL BANK,PACIFIC SECURITIES,1989
RAUSCHER PIERCE REFSNES,DAIN BOSWORTH,1981
RAUSCHER PIERCE REFSNES,RBC BANK,2000
RED CAPITAL MARKETS,ORIX BANK,2010
RED CAPITAL MARKETS,PNC BANK,2008
RONEY,RAYMOND JAMES,1999
ROTAN MOSLE,PAINE WEBBER,1983
RRZ PUBLIC MARKETS,JP MORGAN,2003
RUAN SECURITIES,D A DAVIDSON,2009
RYAN BECK,STIFEL NICOLAUS,2002
SALOMON BROTHERS,CITIGROUP,1998
SBK BROOKS INVESTMENT,BLAYLOCK VAN,2009
SCHARFF & JONES,MORGAN KEEGAN,1989
SCHEETZ SMITH,MELLON BANK,1994
SCOTT & STRINGFELLOW,TRUIST FINANCIAL,1999
SEAFIRST BANK,BANK OF AMERICA,1999
SEASONGOOD & MAYER,RBC BANK,2007
SEATTLE NORTHWEST SEC,PIPER SANDLER,2013
SECURITY TRUST CO ROCHESTER,NORSTAR BANK,1983
SHATTUCK HAMMOND PARTNERS,MORGAN KEEGAN,2007
SHAWMUT BANK,FLEET BANK,1995
SHEARSONAMERICAN EXPRESS,LEHMAN BROTHERS,1984
THE ROBINSON HUMPHREY,SHEARSONAMERICAN EXPRESS,1982
SIEBERT CISNEROS SHANK,SIEBERT WILLIAMS SHANK,2019
SKY BANK,HUNTINGTON NATIONAL BANK,2008
SMITH BARNEY,MORGAN STANLEY,2009
SMITH CAPITAL MARKETS,ZIONS BANK,1989
SMITH HAYES FINANCIAL SERVICES,D A DAVIDSON,2016
SOCIETY NATIONAL BANK,KEY BANK,1994
SOUTH CAROLINA NATIONAL BANK,WACHOVIA BANK,1991
SOUTHTRUST SECURITIES,WACHOVIA BANK,2004
SOUTHWEST SECURITIES,HILLTOP SECURITIES,2015
SOVRAN BANK NA VIRGINIA,CITIZENS & SOUTHERN NATIONAL BANK,1990
SPELMAN,AMERICAN INTERNATIONAL GROUP,1999
STAR BANK,FIRSTAR BANK,1998
STATE BANK OF LONG ISLAND,VALLEY NATIONAL BANK,2011
STONE & YOUNGBERG,STIFEL NICOLAUS,2011
SUMMIT BANK,FLEET BANK,2001
SUNTRUST BANK,TRUIST FINANCIAL,2019
SWENEY CARTWRIGHT,BOENNING & SCATTERGOOD,2019
